Function,Category,Subcategory,2025,Current ,2026 Target,2027 estimate,,Project or improvements,Score Impact,Notes,Implementation Examples,Informative References,SSDF Reference,,Standards Owner,Standards Name/Reference,Standards Notes
GOVERN (GV),"Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-01: The organizational mission is understood and informs cybersecurity risk management,2.5,2.5,3.0,3.0,,,,,"Ex1: Share the organization's mission (e.g., through vision and mission statements, marketing, and service strategies) to provide a basis for identifying risks that may impede that mission","CRI Profile v2.0: GV.OC-01
CRI Profile v2.0: GV.OC-01.01
CSF v1.1: ID.BE-2
CSF v1.1: ID.BE-3
SP 800-221A: GV.CT-5
SP 800-221A: GV.CT-3
SP 800-53 Rev 5.1.1: PM-11",,,,,
,,"GV.OC-02: Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",2.0,2.5,2.5,2.5,,,,,"Ex1: Identify relevant internal stakeholders and their cybersecurity-related expectations (e.g., performance and risk expectations of officers, directors, and advisors; cultural expectations of employees)
Ex2: Identify relevant external stakeholders and their cybersecurity-related expectations (e.g., privacy expectations of customers, business expectations of partnerships, compliance expectations of regulators, ethics expectations of society)","CRI Profile v2.0: GV.OC-02
CRI Profile v2.0: GV.OC-02.01
CRI Profile v2.0: GV.OC-02.02
CRI Profile v2.0: GV.OC-02.03
CSF v1.1: ID.SC-2
CSF v1.1: ID.GV-2
SP 800-218: PO.2.1
SP 800-221A: GV.OV-2
SP 800-221A: GV.CT-2
SP 800-221A: GV.CT-3
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-06
SP 800-53 Rev 5.1.1: SR-08",,,,,
,,"GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",2.0,2.5,2.5,2.5,,,,,"Ex1: Determine a process to track and manage legal and regulatory requirements regarding protection of individuals' information (e.g., Health Insurance Portability and Accountability Act, California Consumer Privacy Act, General Data Protection Regulation)
Ex2: Determine a process to track and manage contractual requirements for cybersecurity management of supplier, customer, and partner information
Ex3: Align the organization's cybersecurity strategy with legal, regulatory, and contractual requirements","CRI Profile v2.0: GV.OC-03
CRI Profile v2.0: GV.OC-03.01
CRI Profile v2.0: GV.OC-03.02
CSF v1.1: ID.GV-3
SP 800-218: PO.1.1
SP 800-218: PO.1.2
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01
SP 800-53 Rev 5.1.1: PM-28
SP 800-53 Rev 5.1.1: PT",,,,,
,,"GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are understood and communicated",2.0,2.5,2.0,2.0,,,,,"Ex1: Establish criteria for determining the criticality of capabilities and services as viewed by internal and external stakeholders
Ex2: Determine (e.g., from a business impact analysis) assets and business operations that are vital to achieving mission objectives and the potential impact of a loss (or partial loss) of such operations
Ex3: Establish and communicate resilience objectives (e.g., recovery time objectives) for delivering critical capabilities and services in various operating states (e.g., under attack, during recovery, normal operation)","CRI Profile v2.0: GV.OC-04
CRI Profile v2.0: GV.OC-04.01
CRI Profile v2.0: GV.OC-04.02
CRI Profile v2.0: GV.OC-04.03
CRI Profile v2.0: GV.OC-04.04
CSF v1.1: ID.BE-4
CSF v1.1: ID.BE-5
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: PM-08
SP 800-53 Rev 5.1.1: PM-11
SP 800-53 Rev 5.1.1: CP-02(08)
SP 800-53 Rev 5.1.1: PM-30(01)
SP 800-53 Rev 5.1.1: RA-09",,,,,
,,"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are understood and communicated",2.0,2.5,2.5,2.5,,,,,"Ex1: Create an inventory of the organization's dependencies on external resources (e.g., facilities, cloud-based hosting providers) and their relationships to organizational assets and business functions
Ex2: Identify and document external dependencies that are potential points of failure for the organization's critical capabilities and services, and share that information with appropriate personnel","CRI Profile v2.0: GV.OC-05
CRI Profile v2.0: GV.OC-05.01
CRI Profile v2.0: GV.OC-05.02
CRI Profile v2.0: GV.OC-05.03
CRI Profile v2.0: GV.OC-05.04
CSF v1.1: ID.BE-1
CSF v1.1: ID.BE-4
SP 800-221A: GV.CT-5
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: PM-11
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-05",,,,,
,"Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders,2.5,3.0,4.0,4.0,,This should be higher 3.0. considering that our Information security objective has been recently defined. Objective are reviewed and managed as part of our ISMS.,,With GRC we can hit a 4,"Ex1: Update near-term and long-term cybersecurity risk management objectives as part of annual strategic planning and when major changes occur
Ex2: Establish measurable objectives for cybersecurity risk management (e.g., manage the quality of user training, ensure adequate risk protection for industrial control systems)
Ex3: Senior leaders agree about cybersecurity objectives and use them for measuring and managing risk and performance","CRI Profile v2.0: GV.RM-01
CRI Profile v2.0: GV.RM-01.01
CRI Profile v2.0: GV.RM-01.02
CRI Profile v2.0: GV.RM-01.03
CRI Profile v2.0: GV.RM-01.04
CRI Profile v2.0: GV.RM-01.05
CSF v1.1: ID.RM-1
SP 800-221A: GV.RR-2
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SR-02",,,,,
,,"GV.RM-02: Risk appetite and risk tolerance statements are established, communicated, and maintained",2.5,2.5,3.5,3.5,,This should be current rating should be higher 2.5 - 3.0. We have the Risk Management Policy established and communicated through anual acknowledgement. Specific training on Risk Management through KnowBe4 might help to improved the communication further.,,"With GRC we can hit a 3.5, should add training about risk management, tolerance, examples","Ex1: Determine and communicate risk appetite statements that convey expectations about the appropriate level of risk for the organization
Ex2: Translate risk appetite statements into specific, measurable, and broadly understandable risk tolerance statements
Ex3: Refine organizational objectives and risk appetite periodically based on known risk exposure and residual risk","CRI Profile v2.0: GV.RM-02
CRI Profile v2.0: GV.RM-02.01
CRI Profile v2.0: GV.RM-02.02
CRI Profile v2.0: GV.RM-02.03
CSF v1.1: ID.RM-2
CSF v1.1: ID.RM-3
SP 800-221A: GV.BE-1
SP 800-221A: GV.BE-3
SP 800-53 Rev 5.1.1: PM-09",,,,,
,,GV.RM-03: Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,2.0,2.0,3.0,3.0,,Establish & Document Processes and Procedure,,With GRC we can hit a 3.,"Ex1: Aggregate and manage cybersecurity risks alongside other enterprise risks (e.g., compliance, financial, operational, regulatory, reputational, safety)
Ex2: Include cybersecurity risk managers in enterprise risk management planning
Ex3: Establish criteria for escalating cybersecurity risks within enterprise risk management","CRI Profile v2.0: GV.RM-03
CRI Profile v2.0: GV.RM-03.01
CRI Profile v2.0: GV.RM-03.02
CRI Profile v2.0: GV.RM-03.03
CRI Profile v2.0: GV.RM-03.04
CSF v1.1: ID.GV-4
SP 800-221A: GV.PO-2
SP 800-221A: GV.PO-3
SP 800-53 Rev 5.1.1: PM-03
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SR-02",,,,,
,,GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated,2.0,2.0,2.5,2.5,,Establish & Document Processes and Procedure,,,"Ex1: Specify criteria for accepting and avoiding cybersecurity risk for various classifications of data
Ex2: Determine whether to purchase cybersecurity insurance
Ex3: Document conditions under which shared responsibility models are acceptable (e.g., outsourcing certain cybersecurity functions, having a third party perform financial transactions on behalf of the organization, using public cloud-based services)","CRI Profile v2.0: GV.RM-04
CRI Profile v2.0: GV.RM-04.01
CSF v1.1: ID.RM-2
SP 800-221A: GV.BE-1
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-28
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: SR-02",,,,,
,,"GV.RM-05: Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",2.0,2.0,2.5,2.5,,,,,"Ex1: Determine how to update senior executives, directors, and management on the organization's cybersecurity posture at agreed-upon intervals
Ex2: Identify how all departments across the organization - such as management, operations, internal auditors, legal, acquisition, physical security, and HR - will communicate with each other about cybersecurity risks","CRI Profile v2.0: GV.RM-05
CRI Profile v2.0: GV.RM-05.01
CRI Profile v2.0: GV.RM-05.02
CSF v1.1: ID.SC-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-30",,,,,
